你;          nǐ;                 You           
好;          hǎo;                Fine, good  
再;          zài;                Again, more          
见;       jiàn;               Meeting, seeing 
谢;       xiè;                Greeting
多;          duō;             Many, more, much
恭;          gōng;               Polite, respectful
喜;          xǐ;                 To like
请;          qǐng;               Please
不;        bù;              Negation, no
客;          kè;                Customer, guest, traveller
气;        qi;              Air, gas, spirit, vital energy
客;          kè;                Customer, guest, traveller
客气/客氣;   kèqi;                Polite
对;       duì;                Correct, right
起;           qǐ;                 Above, rising, standing up, start
吗;        ma                Interrogative particle
叫;          jiào;              Ask, call, greet
什;          shén;              What
么;          me;                Interrogative particle
什么;        shénme;            What
名;          míng ;             Name, position, title
字;          zì;                Character, letter, word
名字;        míngzì;                Personal name
今;          jīn;                Now, today
天;          tiān;                Day, sky
昨;          zuó;                Past, yesterday
明;          míng;              Bright, clear, light
